,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Gmean,S,0.6876,0.7008,0.7454,0.8422,0.7368,0.7674,0.7149,0.7828
B_Acc,V,0.7276,0.7376,0.7693,0.8475,0.7591,0.7791,0.7368,0.7913
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.765,0.7682,0.7913,0.8284,0.7825,0.7739,0.7852,0.7684
F1,S,0.6445,0.647,0.7052,0.7817,0.6768,0.7174,0.6896,0.6904
F.5,10,0.6943,0.7021,0.7302,0.7781,0.7317,0.699,0.7273,0.694
F2,C,0.6083,0.6088,0.6857,0.791,0.6321,0.7399,0.6603,0.6925
Gmean,S,0.7083,0.7083,0.7584,0.8147,0.7321,0.768,0.7444,0.7458
B_Acc,V,0.7298,0.7327,0.7689,0.8217,0.7483,0.7708,0.7576,0.7542
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9032,0.909,0.9147,0.9633,0.8861,0.8835,0.9433,0.9545
F1,S,0.8492,0.8605,0.871,0.9485,0.8117,0.8338,0.9171,0.9324
F.5,11,0.9099,0.9049,0.9148,0.9464,0.9036,0.8414,0.9412,0.9578
F2,C,0.7989,0.8231,0.833,0.9514,0.7399,0.8289,0.8957,0.9104
Gmean,S,0.8656,0.8787,0.8871,0.9605,0.8302,0.8682,0.9278,0.9398
B_Acc,V,0.8737,0.885,0.8919,0.9614,0.8455,0.8714,0.9302,0.9421
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,1,1,1,1,1,1,1,1
F1,S,1,1,1,1,1,1,1,1
F.5,12,1,1,1,1,1,1,1,1
F2,C,1,1,1,1,1,1,1,1
Gmean,S,1,1,1,1,1,1,1,1
B_Acc,V,1,1,1,1,1,1,1,1
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8017,0.7853,0.788,0.651,0.758,0.6262,0.6704,0.6258
F1,S,0.3104,0.2817,0.2962,0.4854,0.3927,0.4472,0.5104,0.459
F.5,13,0.4432,0.3858,0.3918,0.4174,0.4456,0.3819,0.4406,0.3866
F2,C,0.2508,0.2265,0.2465,0.5874,0.3719,0.5482,0.6154,0.5689
Gmean,S,0.4178,0.3777,0.3958,0.6558,0.5329,0.617,0.6717,0.6359
B_Acc,V,0.6015,0.5825,0.5918,0.6644,0.6231,0.6355,0.6882,0.6458
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9151,0.9151,0.9151,0.5017,0.7978,0.7239,0.8092,0.7402
F1,S,0,0,0,0.2237,0.2324,0.2405,0.2916,0.2264
F.5,14,0,0,0,0.1572,0.1974,0.1845,0.2923,0.1747
F2,C,0,0,0,0.39,0.2916,0.3503,0.319,0.3278
Gmean,S,0,0,0,0.6031,0.4805,0.6004,0.5236,0.5536
B_Acc,V,0.5,0.5,0.5,0.6368,0.6027,0.6298,0.609,0.6237
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9055,0.9055,0.9082,0.9085,0.8924,0.9239,0.9348,0.9422
F1,S,0.4767,0.5306,0.5281,0.6678,0.4227,0.6126,0.8211,0.7944
F.5,15,0.5866,0.5993,0.6175,0.7289,0.5145,0.6589,0.7943,0.8253
F2,C,0.4035,0.4898,0.468,0.6371,0.3654,0.5841,0.862,0.7701
Gmean,S,0.5039,0.5928,0.5768,0.7606,0.4744,0.6575,0.9183,0.8564
B_Acc,V,0.6833,0.7256,0.7137,0.7918,0.6637,0.7773,0.9209,0.866
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9082,0.9031,0.9082,0.9107,0.8931,0.893,0.9083,0.9082
F1,S,0.888,0.8786,0.8887,0.895,0.8541,0.8766,0.8911,0.8863
F.5,16,0.8525,0.8512,0.8466,0.8433,0.8591,0.8174,0.8443,0.8533
F2,C,0.9286,0.9091,0.9366,0.9547,0.851,0.9462,0.9453,0.9241
Gmean,S,0.9169,0.908,0.9189,0.9254,0.8822,0.9099,0.9214,0.9154
B_Acc,V,0.9187,0.9089,0.921,0.9287,0.8844,0.9145,0.9243,0.9172
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.81,0.8225,0.81,0.8225,0.8125,0.7275,0.795,0.81
F1,S,0.444,0.5045,0.472,0.6153,0.602,0.5798,0.5728,0.5804
F.5,17,0.5522,0.5731,0.5203,0.6284,0.5872,0.4951,0.5745,0.5926
F2,C,0.3833,0.4572,0.4437,0.6101,0.6283,0.7056,0.5794,0.5763
Gmean,S,0.5612,0.5983,0.5815,0.7322,0.7371,0.7545,0.7069,0.7077
B_Acc,V,0.6487,0.6844,0.6763,0.7475,0.7568,0.7651,0.7219,0.7276
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9331,0.9379,0.933,0.921,0.9085,0.8766,0.874,0.9136
F1,S,0.24,0.3757,0.3424,0.5352,0.3844,0.3566,0.4213,0.4421
